name;film_title
Ti West;MaXXXine
Ti West;Pearl
Ti West;X
Satoshi Kon;Millennium Actress
Satoshi Kon;Perfect Blue
Satoshi Kon;Tokyo Godfathers
Sam Raimi;Army of Darkness
Sam Raimi;Evil Dead II
Robert Eggers;Nosferatu
Robert Eggers;The Northman
Peter Jackson;The Lord of the Rings: The Fellowship of the Ring
Peter Jackson;The Lord of the Rings: The Return of the King
Peter Jackson;The Lord of the Rings: The Two Towers
Paul King;Paddington
Paul King;Paddington 2
Joel Coen;Fargo
Joel Coen;Raising Arizona
James Whale;Bride of Frankenstein
James Whale;Frankenstein
Denis Villeneuve;Dune
Denis Villeneuve;Dune: Part Two
Daniel Scheinert;Everything Everywhere All at Once
Daniel Scheinert;Swiss Army Man
Daniel Kwan;Everything Everywhere All at Once
Daniel Kwan;Swiss Army Man
Andy Sidaris;Do or Die
Andy Sidaris;Hard Ticket to Hawaii
