name;movie_count;link
Fran Walsh;3;/writer/fran-walsh/
Peter Jackson;3;/writer/peter-jackson/
Philippa Boyens;3;/writer/philippa-boyens/
Ti West;3;/writer/ti-west/
Andy Sidaris;2;/writer/andy-sidaris/
Daniel Kwan;2;/writer/daniel-kwan-2/
Daniel Scheinert;2;/writer/daniel-scheinert/
David Twohy;2;/writer/david-twohy/
David Webb Peoples;2;/writer/david-webb-peoples/
Denis Villeneuve;2;/writer/denis-villeneuve/
Ethan Coen;2;/writer/ethan-coen/
Joel Coen;2;/writer/joel-coen/
John L. Balderston;2;/writer/john-l-balderston/
Jon Spaihts;2;/writer/jon-spaihts/
Lorenzo Semple Jr.;2;/writer/lorenzo-semple-jr/
Paul King;2;/writer/paul-king/
Robert Eggers;2;/writer/robert-eggers/
Sadayuki Murai;2;/writer/sadayuki-murai/
Sam Raimi;2;/writer/sam-raimi/
Satoshi Kon;2;/writer/satoshi-kon/
